salary_id,minimum_salary,maximum_salary,salary_type,pay_band
1106,39060.0,105042.0,YEAR,Doctor - Other
1107,31124.0,41300.0,YEAR,
1108,46208.0,46208.0,YEAR,
1109,17550.0,17550.0,YEAR,
1110,54000.0,88000.0,YEAR,
1111,46746.0,47132.0,YEAR,
1112,10086.0,10086.0,YEAR,6
1113,31217.0,41300.0,YEAR,6
1114,66226.0,89285.0,YEAR,Consultant
1115,31142.0,40675.0,YEAR,Doctor - Other
1116,29213.0,41300.0,YEAR,Specialty Registrar
1117,18915.0,18915.0,YEAR,
1118,16975.0,16975.0,YEAR,
1119,47068.0,50430.0,YEAR,
1120,55661.0,55661.0,YEAR,
1121,76508.0,76508.0,YEAR,Doctor - Other
1122,51442.0,51442.0,YEAR,Specialty Registrar
1123,52422.0,69424.0,YEAR,Specialty Doctor
1124,17800.0,17800.0,YEAR,
1125,23553.0,23553.0,YEAR,Specialty Registrar
1126,32569.0,49086.0,YEAR,Foundation Doctor
1127,39251.0,73195.0,YEAR,Doctor - Other
1128,39351.0,39351.0,YEAR,
1129,31247.0,49086.0,YEAR,
1130,75881.0,95515.0,YEAR,Consultant
1131,74442.0,74442.0,YEAR,
1132,11767.0,11767.0,YEAR,Consultant
1133,37190.0,47132.0,YEAR,Specialty Doctor
1134,32029.0,33799.0,YEAR,
1135,9250.0,9250.0,YEAR,
1136,19171.0,19945.0,YEAR,
1137,38096.0,38096.0,YEAR,
1138,10000.0,45000.0,YEAR,
1139,9000.0,10500.0,YEAR,
1140,77931.0,105042.0,YEAR,
1141,9413.0,9413.0,YEAR,
1142,37410.0,50563.0,YEAR,Specialty Registrar
1143,21328.0,21328.0,YEAR,
1144,31442.0,37191.0,YEAR,Doctor - Other
1145,27600.0,27600.0,YEAR,
1146,9644.0,9644.0,YEAR,
1147,79459.0,84446.0,YEAR,
1148,39402.0,39402.0,YEAR,
1149,60000.0,80000.0,YEAR,
1150,37171.0,37171.0,YEAR,Doctor - Other
1151,220.0,220.0,YEAR,
1152,23553.0,23553.0,YEAR,
1153,47191.0,47191.0,YEAR,Doctor - Other
1154,13000.0,13000.0,YEAR,
1155,31124.0,40765.0,YEAR,Doctor - Other
1156,28640.0,28640.0,YEAR,Foundation Doctor
1157,85232.0,105042.0,YEAR,
1158,3719.0,3719.0,YEAR,Specialty Registrar
1159,20475.0,20475.0,YEAR,
1160,64857.0,72828.0,YEAR,
1161,76800.0,84446.0,YEAR,
1162,21000.0,21000.0,YEAR,
1163,15352.0,20698.0,YEAR,
1164,6724.0,10086.0,YEAR,
1165,2019.0,2019.0,YEAR,
1166,87003.0,87003.0,YEAR,Doctor - Other
1167,37410.0,37410.0,YEAR,
1168,9131.0,9131.0,YEAR,
1169,154652.0,154652.0,YEAR,Doctor - Other
1170,83560.0,83560.0,YEAR,
1171,14725.0,14725.0,YEAR,
1172,39060.0,73840.0,YEAR,Specialty Doctor
1173,16628.0,16628.0,YEAR,Consultant
1174,1681.0,5043.0,YEAR,Consultant
1175,65000.0,85000.0,YEAR,
1176,76761.0,103491.0,YEAR,
1177,21089.0,23671.0,YEAR,
1178,104628.0,104628.0,YEAR,
1179,17129.0,17129.0,YEAR,
1180,10920.0,10920.0,YEAR,
1181,14624.0,14624.0,YEAR,
1182,41300.0,45193.0,YEAR,
1183,18928.0,23668.0,YEAR,
1184,17146.0,17146.0,YEAR,
1185,86000.0,86000.0,YEAR,
1186,39060.0,52422.0,YEAR,
1187,10400.0,10800.0,YEAR,
1188,47139.0,47139.0,YEAR,Specialty Registrar
1189,21012.0,21012.0,YEAR,
1190,1122.0,2048.0,YEAR,Doctor - Other
1191,5476.0,90247.0,YEAR,Doctor - Other
1192,47137.0,47137.0,YEAR,Specialty Registrar
1193,22862.0,27146.0,YEAR,Foundation Doctor
1194,49086.0,49086.0,YEAR,
1195,30605.0,41300.0,YEAR,Doctor - Other
1196,146.0,146.0,YEAR,
1197,77913.0,103902.0,YEAR,Consultant
1198,4869.0,6565.0,YEAR,
1199,8650.0,8650.0,YEAR,
1200,50895.0,70718.0,YEAR,Specialty Doctor
1201,31217.0,49098.0,YEAR,
1202,76913.0,105042.0,YEAR,Consultant
1203,38623.0,38623.0,YEAR,Specialty Registrar
1204,17238.0,17238.0,YEAR,
1205,35249.0,40863.0,YEAR,
1206,27025.0,32236.0,YEAR,
1207,36000.0,54000.0,YEAR,
1208,9800.0,9800.0,YEAR,
1209,153.0,153.0,YEAR,
1210,131000.0,131000.0,YEAR,Consultant
1211,10390.0,76761.0,YEAR,Consultant
1212,9632.0,9632.0,YEAR,
1213,76235.0,79235.0,YEAR,Doctor - Other
1214,33584.0,33584.0,YEAR,Foundation Doctor
1215,9936.0,9936.0,YEAR,
1216,40491.0,48123.0,YEAR,
1217,54584.0,54584.0,YEAR,Specialty Registrar
1218,7500.0,7500.0,YEAR,Doctor - Other
1219,59000.0,59000.0,YEAR,Consultant
1220,29132.0,29132.0,YEAR,
1221,82369.0,82369.0,YEAR,Doctor - Other
1222,96583.0,96583.0,YEAR,
1223,11767.0,11767.0,YEAR,7
1224,44000.0,47000.0,YEAR,
1225,22000.0,26000.0,YEAR,
1226,19500.0,19500.0,YEAR,
1227,32175.0,41827.0,YEAR,
1228,85000.0,85000.0,YEAR,Doctor - Other
1229,22000.0,22000.0,YEAR,
1230,70569.0,70569.0,YEAR,Doctor - Other
1231,46048.0,46048.0,YEAR,
1232,65000.0,85000.0,YEAR,Specialty Doctor
1233,29213.0,29213.0,YEAR,Doctor - Other
1234,21089.0,22707.0,YEAR,
1235,33127.0,35795.0,YEAR,
1236,105042.0,779113.0,YEAR,
1237,88000.0,88000.0,YEAR,
1238,105042.0,7791000.0,YEAR,Consultant
1239,63000.0,84000.0,YEAR,
1240,92500.0,92500.0,YEAR,
1241,43247.0,45193.0,YEAR,
1242,31841.0,42126.0,YEAR,
1243,37935.0,48132.0,YEAR,
1244,48075.0,48075.0,YEAR,
1245,24214.0,28000.0,YEAR,Doctor - Other
1246,86448.0,105042.0,YEAR,Consultant
1247,25553.0,41300.0,YEAR,Doctor - Other
1248,84050.0,84050.0,YEAR,
1249,15129.0,22693.0,YEAR,
1250,59863.0,59863.0,YEAR,Doctor - Other
1251,38570.0,58459.0,YEAR,
1252,28640.0,32386.0,YEAR,
1253,31841.0,50068.0,YEAR,Specialty Registrar
1254,41600.0,49086.0,YEAR,Specialty Registrar
1255,28000.0,28000.0,YEAR,Consultant
1256,31841.0,42126.0,YEAR,Doctor - Other
1257,40037.0,74661.0,YEAR,Specialty Doctor
1258,16675.0,18360.0,YEAR,
1259,48075.0,48075.0,YEAR,Doctor - Other
1260,48075.0,48075.0,YEAR,Specialty Registrar
1261,37935.0,37935.0,YEAR,Specialty Registrar
1262,56133.0,92401.0,YEAR,Specialty Doctor
1263,35795.0,49086.0,YEAR,Specialty Doctor
1264,34000.0,34000.0,YEAR,Specialty Doctor
1265,40037.0,74661.0,YEAR,
1266,37146.0,47132.0,YEAR,
1267,17500.0,17500.0,YEAR,Consultant
1268,51735.0,51735.0,YEAR,
1269,896.0,896.0,YEAR,
1270,23553.0,26493.0,YEAR,Specialty Registrar
1271,77913.0,90478.0,YEAR,
1272,40000.0,40000.0,YEAR,Consultant
1273,47085.0,47085.0,YEAR,Doctor - Other
1274,31841.0,50068.0,YEAR,Doctor - Other
1275,64332.0,64332.0,YEAR,Doctor - Other
1276,40097.0,40097.0,YEAR,Specialty Registrar
1277,79860.0,107668.0,YEAR,Doctor - Other
1278,48000.0,48000.0,YEAR,8a
1279,36000.0,36000.0,YEAR,Consultant
1280,30302.0,50563.0,YEAR,Specialty Registrar
1281,31841.0,50086.0,YEAR,Specialty Registrar
1282,31841.0,42126.0,YEAR,Specialty Registrar
1283,50237.0,50237.0,YEAR,Specialty Registrar
1284,75249.0,101451.0,YEAR,
1285,37935.0,37935.0,YEAR,Doctor - Other
